Const,Your Rating,Date Rated,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt0182006,5,2001-06-10,"Le ciel, les oiseaux,... et ta mère!",https://www.imdb.com/title/tt0182006/,movie,5.0,90,1999,Comedy,824,1999-01-20,Djamel Bensalah
tt0112641,10,2000-06-05,Casino,https://www.imdb.com/title/tt0112641/,movie,8.2,178,1995,"Crime, Drama",441196,1995-04-03,Martin Scorsese
tt1000774,4,2008-11-12,Sex and the City,https://www.imdb.com/title/tt1000774/,movie,5.6,145,2008,"Comedy, Drama, Romance",113269,2008-05-12,Michael Patrick King
tt0100112,8,2003-11-26,Le mari de la coiffeuse,https://www.imdb.com/title/tt0100112/,movie,7.3,82,1990,"Comedy, Drama, Romance",8721,1990-10-03,Patrice Leconte
tt1001508,1,2011-08-07,He's Just Not That Into You,https://www.imdb.com/title/tt1001508/,movie,6.4,129,2009,"Comedy, Drama, Romance",156826,2009-01-24,Ken Kwapis
tt0100263,4,2000-08-13,Nikita,https://www.imdb.com/title/tt0100263/,movie,7.3,117,1990,"Action, Thriller",65248,1990-02-21,Luc Besson
tt0100269,6,2003-10-07,"'Non', ou A Vã Glória de Mandar",https://www.imdb.com/title/tt0100269/,movie,7.1,110,1990,"Drama, History, War",817,1990-09-26,Manoel de Oliveira
tt0100339,7,2001-04-12,Kidô keisatsu patorebâ: Gekijô-ban,https://www.imdb.com/title/tt0100339/,movie,7.1,100,1989,"Animation, Action, Crime, Drama, Mystery, Sci-Fi, Thriller",4367,1989-07-15,Mamoru Oshii
tt0100357,7,2009-06-09,Le petit criminel,https://www.imdb.com/title/tt0100357/,movie,6.8,100,1990,Drama,349,1990-12-19,Jacques Doillon
tt0100536,8,2006-12-05,S'en fout la mort,https://www.imdb.com/title/tt0100536/,movie,6.7,90,1990,Drama,695,1990-09-05,Claire Denis
tt0100802,7,2008-03-24,Total Recall,https://www.imdb.com/title/tt0100802/,movie,7.5,113,1990,"Action, Sci-Fi, Thriller",289641,1990-05-31,Paul Verhoeven
tt0100869,7,2005-06-26,La vie des morts,https://www.imdb.com/title/tt0100869/,movie,6.7,54,1991,Drama,285,1991-06-12,Arnaud Desplechin
tt0100928,7,2008-07-19,White Hunter Black Heart,https://www.imdb.com/title/tt0100928/,movie,6.6,112,1990,"Adventure, Drama",10623,1990-05-16,Clint Eastwood
tt0100935,8,2005-04-28,Wild at Heart,https://www.imdb.com/title/tt0100935/,movie,7.2,125,1990,"Comedy, Crime, Drama, Thriller",78697,1990-05-19,David Lynch
tt1010048,7,2009-02-21,Slumdog Millionaire,https://www.imdb.com/title/tt1010048/,movie,8.0,120,2008,"Drama, Romance",775081,2008-08-30,"Loveleen Tandan, Danny Boyle"
tt0101019,8,2007-10-13,Zone rouge,https://www.imdb.com/title/tt0101019/,movie,6.0,110,1986,"Crime, Thriller, Action",182,1986-04-09,Robert Enrico
tt0101026,7,2001-05-30,¡Átame!,https://www.imdb.com/title/tt0101026/,movie,7.0,101,1989,"Comedy, Crime, Drama, Romance",23120,1989-12-12,Pedro Almodóvar
tt1013743,5,2012-07-02,Knight and Day,https://www.imdb.com/title/tt1013743/,movie,6.3,109,2010,"Action, Adventure, Comedy",174956,2010-06-16,James Mangold
tt1013753,6,2011-04-22,Milk,https://www.imdb.com/title/tt1013753/,movie,7.5,128,2008,"Biography, Drama",160523,2008-10-28,Gus Van Sant
tt0101410,8,2002-07-01,Barton Fink,https://www.imdb.com/title/tt0101410/,movie,7.7,116,1991,"Comedy, Drama, Thriller",108733,1991-05-18,"Joel Coen, Ethan Coen"
tt0101507,7,2001-05-23,Boyz n the Hood,https://www.imdb.com/title/tt0101507/,movie,7.7,112,1991,"Crime, Drama",118605,1991-05-13,John Singleton
tt0101516,7,2000-10-03,Bugsy,https://www.imdb.com/title/tt0101516/,movie,6.8,136,1991,"Biography, Crime, Drama",24948,1991-12-10,Barry Levinson
tt0101540,3,2007-06-05,Cape Fear,https://www.imdb.com/title/tt0101540/,movie,7.3,128,1991,"Crime, Thriller",163390,1991-10-06,Martin Scorsese
tt0010155,8,2002-05-29,The Garage,https://www.imdb.com/title/tt0010155/,short,6.7,25,1920,"Short, Comedy",1136,1920-01-11,Roscoe 'Fatty' Arbuckle
tt0101700,9,2001-12-30,Delicatessen,https://www.imdb.com/title/tt0101700/,movie,7.6,99,1991,"Comedy, Crime",78022,1991-04-17,"Jean-Pierre Jeunet, Marc Caro"
tt0101765,9,2008-08-17,La double vie de Véronique,https://www.imdb.com/title/tt0101765/,movie,7.8,98,1991,"Drama, Fantasy, Music, Mystery, Romance",39131,1991-05-15,Krzysztof Kieslowski
tt1019452,7,2011-02-20,A Serious Man,https://www.imdb.com/title/tt1019452/,movie,7.0,106,2009,"Comedy, Drama",127773,2009-09-12,"Joel Coen, Ethan Coen"
tt1020773,10,2012-12-30,Copie conforme,https://www.imdb.com/title/tt1020773/,movie,7.3,106,2010,"Drama, Romance",19789,2010-05-18,Abbas Kiarostami
tt0010221,7,2002-05-27,The Hayseed,https://www.imdb.com/title/tt0010221/,short,5.9,27,1919,"Short, Comedy",666,1919-10-26,Roscoe 'Fatty' Arbuckle
tt1023441,4,2011-11-20,Coco Chanel & Igor Stravinsky,https://www.imdb.com/title/tt1023441/,movie,6.4,119,2009,"Drama, Music, Romance",6093,2009-05-24,Jan Kounen
tt0102436,7,2003-11-07,Merci la vie,https://www.imdb.com/title/tt0102436/,movie,6.6,117,1991,Drama,1065,1991-03-13,Bertrand Blier
tt1024648,8,2015-08-29,Argo,https://www.imdb.com/title/tt1024648/,movie,7.7,120,2012,"Biography, Drama, Thriller",555782,2012-08-31,Ben Affleck
tt0102494,7,2011-04-16,My Own Private Idaho,https://www.imdb.com/title/tt0102494/,movie,7.1,104,1991,Drama,47399,1991-07-20,Gus Van Sant
tt0102511,7,2002-08-09,Naked Lunch,https://www.imdb.com/title/tt0102511/,movie,7.1,115,1991,Drama,45005,1991-12-12,David Cronenberg
tt0102536,8,2001-05-28,Night on Earth,https://www.imdb.com/title/tt0102536/,movie,7.8,129,1991,"Comedy, Drama",52831,1991-10-04,Jim Jarmusch
tt0102685,8,2001-09-09,Point Break,https://www.imdb.com/title/tt0102685/,movie,7.3,122,1991,"Action, Crime, Thriller",148797,1991-07-10,Kathryn Bigelow
tt0102749,7,2000-10-15,A Rage in Harlem,https://www.imdb.com/title/tt0102749/,movie,5.9,115,1991,"Comedy, Crime",1846,1991-05-03,Bill Duke
tt0103030,4,2001-05-22,Tacones lejanos,https://www.imdb.com/title/tt0103030/,movie,7.1,112,1991,"Comedy, Drama, Romance",13122,1991-10-23,Pedro Almodóvar
tt0103064,9,2001-09-13,Terminator 2: Judgment Day,https://www.imdb.com/title/tt0103064/,movie,8.5,137,1991,"Action, Sci-Fi",958987,1991-07-01,James Cameron
tt1032755,6,2013-01-03,RocknRolla,https://www.imdb.com/title/tt1032755/,movie,7.3,114,2008,"Action, Crime, Thriller",227765,2008-09-04,Guy Ritchie
tt1032854,8,2013-11-12,L'avocat de la terreur,https://www.imdb.com/title/tt1032854/,movie,7.2,135,2007,"Documentary, Biography, History",1455,2007-05-18,Barbet Schroeder
tt0103594,8,2012-06-15,1492: Conquest of Paradise,https://www.imdb.com/title/tt0103594/,movie,6.5,154,1992,"Adventure, Biography, Drama, History",27186,1992-10-08,Ridley Scott
tt0103639,1,2000-06-05,Aladdin,https://www.imdb.com/title/tt0103639/,movie,8.0,90,1992,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",354416,1992-11-08,"Ron Clements, John Musker"
tt0103644,6,2001-06-07,Alien³,https://www.imdb.com/title/tt0103644/,movie,6.5,114,1992,"Action, Horror, Sci-Fi",267113,1992-05-19,David Fincher
tt0103767,8,2013-03-30,Baraka,https://www.imdb.com/title/tt0103767/,movie,8.6,96,1992,Documentary,34713,1992-08-31,Ron Fricke
